Filename: COCu_morse_fix_200_5k_adamW_LJ_100_iter_1
Dataset size: 300
Target scaling: [8.841315589518457, -527.7487172369373]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.adamw.AdamW'>
Learning Rate: 0.001
Batch Size: 37
Epochs: 1000
Shuffle: True
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.1511       5.0878      20.8024      15.8738  2.4805
    2       0.1556       4.5938      17.5982      13.0246  2.3788
    3       0.0995       3.9650      14.0875       9.5814  2.3747
    4       0.1911       3.3102      10.5114       7.1224  2.2911
    5       0.1559       2.9146       7.8832       5.4613  2.3930
    6       0.1525       2.7939       6.6181       5.0325  2.3122
    7       0.1525       2.7939       6.3260       5.0325  2.4609
    8       0.1628       2.6610       6.1382       4.6463  2.3752
    9       0.1621       2.1818       5.2154       3.2504  2.4272
   10       0.1226       1.2746       3.2442       1.2004  2.4311
   11       0.1061       0.6291       1.3237       0.4064  2.3248
   12       0.0697       0.7574       0.7889       0.4170  2.3751
   13       0.0403       0.5268       0.5499       0.1909  2.3555
   14       0.0379       0.3939       0.3178       0.1146  2.3164
   15       0.0368       0.4234       0.2630       0.1278  2.3736
   16       0.0257       0.3907       0.2434       0.1015  2.4432
   17       0.0257       0.3907       0.2332       0.1015  2.4145
   18       0.0246       0.3860       0.2292       0.0985  2.3511
   19       0.0244       0.3538       0.2119       0.0840  2.3957
   20       0.0227       0.3334       0.1910       0.0744  2.3408
   21       0.0263       0.3190       0.1774       0.0714  2.3768
   22       0.0224       0.3054       0.1597       0.0635  2.4384
   23       0.0242       0.2956       0.1426       0.0612  2.3803
   24       0.0196       0.2808       0.1334       0.0531  2.4435
   25       0.0207       0.2750       0.1262       0.0518  2.4017
   26       0.0193       0.2757       0.1239       0.0512  2.3601
   27       0.0193       0.2757       0.1230       0.0512  2.3617
   28       0.0195       0.2737       0.1227       0.0506  2.3482
   29       0.0211       0.2729       0.1212       0.0513  2.4404
   30       0.0258       0.2681       0.1180       0.0531  2.4188
   31       0.0188       0.2560       0.1131       0.0446  2.3995
   32       0.0327       0.2431       0.1057       0.0515  2.4231
   33       0.0210       0.2376       0.1015       0.0405  2.4249
   34       0.0194       0.2344       0.0921       0.0386  2.3050
