Filename: COCu_morse_fix_200_5k_adamW_LJ_100_iter_3
Dataset size: 500
Target scaling: [8.841315589518457, -527.7487172369373]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.adamw.AdamW'>
Learning Rate: 0.001
Batch Size: 62
Epochs: 1000
Shuffle: True
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.1749       5.2366      34.4731      28.1869  3.3265
    2       0.1489       4.8789      30.7703      24.3582  3.2939
    3       0.1477       4.2807      25.7987      18.8702  3.2605
    4       0.1615       3.6043      19.3709      13.6430  3.2719
    5       0.1693       3.1578      14.2287      10.6883  3.2899
    6       0.1729       3.0223      11.7483       9.8816  3.2051
    7       0.1729       3.0223      11.1686       9.8816  3.2268
    8       0.1742       2.8856      10.8055       9.0853  3.2439
    9       0.1709       2.3678       8.9878       6.3365  3.2804
   10       0.1926       1.2959       5.1717       2.6069  3.2875
   11       0.1459       0.6947       1.6652       1.0149  3.1641
   12       0.0768       0.9070       1.2142       0.9702  3.2708
   13       0.0844       0.5973       0.9912       0.5347  3.2010
   14       0.0389       0.4826       0.5445       0.2707  3.2760
   15       0.0248       0.4942       0.3950       0.2596  3.2652
   16       0.0285       0.4825       0.3681       0.2531  3.2381
   17       0.0285       0.4825       0.3573       0.2531  3.2711
   18       0.0425       0.4579       0.3524       0.2549  3.2325
   19       0.0264       0.4420       0.3324       0.2128  3.2004
   20       0.0328       0.4144       0.3083       0.1986  3.3991
   21       0.0378       0.3954       0.2923       0.1920  3.2797
   22       0.0264       0.3888       0.2658       0.1685  3.2882
   23       0.0269       0.3757       0.2458       0.1593  3.2556
   24       0.0277       0.3629       0.2319       0.1509  3.2671
   25       0.0272       0.3576       0.2229       0.1464  3.2676
   26       0.0274       0.3561       0.2193       0.1456  3.2772
   27       0.0274       0.3561       0.2185       0.1456  3.1645
   28       0.0274       0.3550       0.2181       0.1448  3.2864
   29       0.0266       0.3515       0.2156       0.1413  3.2963
   30       0.0219       0.3500       0.2101       0.1345  3.2272
   31       0.0215       0.3400       0.2052       0.1272  3.2777
   32       0.0215       0.3275       0.1924       0.1188  3.1967
   33       0.0257       0.3146       0.1819       0.1155  3.2841
   34       0.0214       0.3112       0.1731       0.1084  3.2871
   35       0.0231       0.3068       0.1690       0.1075  3.2468
   36       0.0241       0.3055       0.1664       0.1078  3.3094
   37       0.0241       0.3055       0.1655       0.1078  3.3080
   38       0.0251       0.3042       0.1653       0.1082  3.2565
   39       0.0261       0.3007       0.1638       0.1075  3.3164
   40       0.0287       0.2943       0.1606       0.1072  3.2970
   41       0.0293       0.2868       0.1549       0.1036  3.2178
   42       0.0210       0.2821       0.1490       0.0906  3.1677
   43       0.0193       0.2762       0.1413       0.0856  3.2690
   44       0.0211       0.2705       0.1365       0.0843  3.2987
   45       0.0202       0.2686       0.1331       0.0823  3.2405
   46       0.0216       0.2673       0.1317       0.0831  3.2354
   47       0.0216       0.2673       0.1312       0.0831  3.2915
   48       0.0209       0.2670       0.1310       0.0822  3.2343
   49       0.0196       0.2652       0.1302       0.0799  3.2414
   50       0.0206       0.2603       0.1276       0.0784  3.3217
   51       0.0198       0.2549       0.1237       0.0748  3.2643
   52       0.0225       0.2483       0.1188       0.0743  3.2820
   53       0.0164       0.2466       0.1158       0.0676  3.1988
   54       0.0188       0.2402       0.1114       0.0665  3.2667
   55       0.0166       0.2396       0.1080       0.0643  3.3038
   56       0.0201       0.2379       0.1072       0.0667  3.2947
   57       0.0201       0.2379       0.1068       0.0667  3.2620
   58       0.0169       0.2383       0.1067       0.0639  3.2486
   59       0.0154       0.2375       0.1064       0.0623  3.2225
   60       0.0152       0.2341       0.1042       0.0606  3.2972
   61       0.0213       0.2272       0.1019       0.0629  3.2890
   62       0.0142       0.2256       0.0983       0.0559  3.2271
   63       0.0331       0.2168       0.0953       0.0745  3.2719
   64       0.0172       0.2167       0.0961       0.0543  3.2020
   65       0.0183       0.2153       0.0893       0.0548  3.2634
   66       0.0143       0.2161       0.0884       0.0518  3.3145
   67       0.0143       0.2161       0.0885       0.0518  3.2768
   68       0.0189       0.2144       0.0882       0.0549  3.2753
   69       0.0194       0.2129       0.0882       0.0547  3.2913
   70       0.0134       0.2112       0.0865       0.0491  3.2273
   71       0.0170       0.2073       0.0839       0.0502  3.3287
   72       0.0134       0.2047       0.0811       0.0464  3.2214
   73       0.0133       0.2008       0.0786       0.0448  3.2529
   74       0.0123       0.1988       0.0763       0.0433  3.3277
   75       0.0122       0.1983       0.0751       0.0430  3.2941
   76       0.0179       0.1963       0.0744       0.0466  3.2702
   77       0.0179       0.1963       0.0748       0.0466  3.2452
   78       0.0122       0.1974       0.0753       0.0427  3.2811
   79       0.0127       0.1967       0.0759       0.0427  3.3156
   80       0.0202       0.1928       0.0737       0.0473  3.3376
   81       0.0117       0.1924       0.0723       0.0404  3.2613
   82       0.0184       0.1904       0.0728       0.0447  3.2894
   83       0.0167       0.1853       0.0712       0.0413  3.2424
   84       0.0152       0.1862       0.0668       0.0405  3.2563
   85       0.0143       0.1841       0.0664       0.0390  3.3065
   86       0.0209       0.1810       0.0657       0.0437  3.2394
   87       0.0209       0.1810       0.0665       0.0437  3.2122
   88       0.0109       0.1830       0.0697       0.0365  3.2643
   89       0.0111       0.1831       0.0728       0.0366  3.1840
