Wed Mar 18 11:56:05 2020
--------------------------------------------------
Filename: COCu_ml_noseed_200_5k
Dataset size: 200
Target scaling: [0, 0]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 36
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 200
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
   81       0.0005       0.0826       0.0155       0.0055  7.6705
   82       0.0005       0.0815       0.0152       0.0053  8.0200
   83       0.0006       0.0822       0.0151       0.0054  7.6918
   84       0.0006       0.0822       0.0150       0.0054  7.7496
   85       0.0006       0.0799       0.0149       0.0051  7.9186
   86       0.0006       0.0794       0.0148       0.0051  7.6747
   87       0.0006       0.0796       0.0147       0.0051  7.7734
   88       0.0008       0.0798       0.0147       0.0051  7.7426
   89       0.0006       0.0779       0.0144       0.0049  7.6717
   90       0.0007       0.0769       0.0141       0.0047  7.7116
   91       0.0007       0.0757       0.0139       0.0046  7.6297
   92       0.0009       0.0770       0.0137       0.0048  7.7002
   93       0.0010       0.0776       0.0135       0.0048  7.9007
   94       0.0011       0.0777       0.0134       0.0048  8.1002
   95       0.0010       0.0762       0.0134       0.0047  8.0229
   96       0.0010       0.0757       0.0133       0.0046  7.6111
   97       0.0009       0.0746       0.0132       0.0045  7.7644
   98       0.0010       0.0746       0.0132       0.0045  7.8852
   99       0.0011       0.0762       0.0131       0.0047  7.6088
  100       0.0010       0.0744       0.0130       0.0045  7.9637
  101       0.0011       0.0748       0.0129       0.0045  8.0358
  102       0.0011       0.0741       0.0128       0.0044  8.0850
  103       0.0012       0.0732       0.0128       0.0043  7.8266
  104       0.0013       0.0745       0.0127       0.0045  7.6295
  105       0.0013       0.0728       0.0127       0.0043  7.8414
  106       0.0015       0.0722       0.0124       0.0042  7.9533
  107       0.0016       0.0723       0.0122       0.0042  8.0081
  108       0.0016       0.0707       0.0121       0.0040  7.6196
  109       0.0015       0.0702       0.0120       0.0040  7.8652
  110       0.0014       0.0700       0.0120       0.0040  7.9083
  111       0.0014       0.0695       0.0119       0.0039  8.1638
  112       0.0014       0.0684       0.0118       0.0038  7.7503
  113       0.0012       0.0663       0.0117       0.0035  7.8818
  114       0.0012       0.0662       0.0116       0.0035  7.9747
  115       0.0012       0.0652       0.0115       0.0034  8.0495
  116       0.0012       0.0648       0.0115       0.0034  8.1119
  117       0.0012       0.0643       0.0114       0.0033  7.7992
  118       0.0013       0.0648       0.0114       0.0034  7.9935
  119       0.0012       0.0637       0.0113       0.0033  7.6823
  120       0.0013       0.0646       0.0113       0.0034  8.0256
  121       0.0013       0.0652       0.0112       0.0034  8.0807
  122       0.0013       0.0649       0.0112       0.0034  8.3035
  123       0.0013       0.0658       0.0111       0.0035  7.7467
  124       0.0014       0.0661       0.0110       0.0035  7.6767
  125       0.0014       0.0658       0.0109       0.0035  7.6553
  126       0.0014       0.0658       0.0109       0.0035  7.9104
  127       0.0012       0.0653       0.0108       0.0034  7.7878
  128       0.0012       0.0654       0.0107       0.0034  7.8009
  129       0.0011       0.0643       0.0107       0.0033  7.7047
  130       0.0010       0.0637       0.0106       0.0033  7.9362
  131       0.0010       0.0633       0.0106       0.0032  7.9347
  132       0.0010       0.0629       0.0106       0.0032  8.0931
  133       0.0010       0.0619       0.0106       0.0031  8.2118
  134       0.0011       0.0617       0.0105       0.0031  7.9470
  135       0.0011       0.0610       0.0105       0.0030  7.7019
  136       0.0011       0.0605       0.0104       0.0030  7.6599
  137       0.0011       0.0603       0.0104       0.0029  7.8456
  138       0.0011       0.0606       0.0103       0.0030  8.1560
  139       0.0011       0.0605       0.0103       0.0030  8.0815
  140       0.0010       0.0604       0.0103       0.0029  8.3390
  141       0.0010       0.0604       0.0103       0.0029  8.0206
  142       0.0010       0.0601       0.0103       0.0029  8.0046
  143       0.0010       0.0605       0.0102       0.0029  7.6979
  144       0.0010       0.0604       0.0102       0.0029  8.0241
  145       0.0010       0.0607       0.0101       0.0030  7.9885
  146       0.0010       0.0607       0.0101       0.0030  7.7122
  147       0.0010       0.0604       0.0100       0.0029  7.8385
  148       0.0010       0.0605       0.0100       0.0029  7.5924
  149       0.0010       0.0610       0.0100       0.0030  7.8494
  150       0.0010       0.0613       0.0100       0.0030  8.2088
  151       0.0010       0.0623       0.0100       0.0031  7.5979
  152       0.0008       0.0603       0.0099       0.0029  7.9646
  153       0.0008       0.0600       0.0099       0.0029  8.1116
  154       0.0008       0.0603       0.0098       0.0029  7.9885
  155       0.0008       0.0606       0.0098       0.0029  7.9262
  156       0.0008       0.0600       0.0098       0.0029  7.7117
  157       0.0008       0.0602       0.0098       0.0029  7.5827
  158       0.0008       0.0603       0.0097       0.0029  7.7374
  159       0.0007       0.0598       0.0097       0.0029  7.6905
  160       0.0007       0.0597       0.0097       0.0029  8.0494
  161       0.0007       0.0593       0.0097       0.0028  7.6800
  162       0.0008       0.0600       0.0096       0.0029  8.0746
