Filename: COCu_morse_f100_2_LJ
Dataset size: 100
Target scaling: [8.841315589518457, -529.0525895393496]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
   80       0.0022       0.0159       0.0004       0.0002  9.2781
   81       0.0022       0.0167       0.0004       0.0002  9.1325
   82       0.0022       0.0159       0.0004       0.0002  9.1936
   83       0.0022       0.0157       0.0004       0.0001  9.1753
   84       0.0022       0.0158       0.0004       0.0002  9.2362
   85       0.0022       0.0166       0.0004       0.0002  9.3194
   86       0.0022       0.0170       0.0004       0.0002  9.6745
   87       0.0023       0.0174       0.0004       0.0002  9.3525
   88       0.0022       0.0149       0.0004       0.0001  9.3410
   89       0.0022       0.0135       0.0004       0.0001  9.1984
   90       0.0022       0.0136       0.0004       0.0001  9.3082
   91       0.0022       0.0134       0.0004       0.0001  9.2895
   92       0.0022       0.0141       0.0004       0.0001  9.5558
   93       0.0022       0.0147       0.0004       0.0001  9.5878
   94       0.0022       0.0136       0.0004       0.0001  9.3189
   95       0.0022       0.0137       0.0004       0.0001  9.0878
   96       0.0022       0.0139       0.0003       0.0001  9.1779
   97       0.0022       0.0142       0.0003       0.0001  9.4800
   98       0.0022       0.0150       0.0003       0.0001  9.5973
   99       0.0022       0.0145       0.0003       0.0001  9.5460
  100       0.0022       0.0137       0.0003       0.0001  9.3756
  101       0.0022       0.0138       0.0003       0.0001  9.4969
  102       0.0022       0.0149       0.0003       0.0001  9.5964
  103       0.0022       0.0145       0.0003       0.0001  9.3812
  104       0.0022       0.0151       0.0003       0.0001  9.1581
  105       0.0022       0.0153       0.0003       0.0001  9.4973
  106       0.0021       0.0166       0.0003       0.0002  9.3352
  107       0.0022       0.0163       0.0003       0.0002  9.6456
  108       0.0022       0.0169       0.0003       0.0002  9.4373
  109       0.0022       0.0179       0.0003       0.0002  9.5703
  110       0.0022       0.0191       0.0003       0.0002  9.1267
  111       0.0021       0.0193       0.0003       0.0002  9.6672
  112       0.0022       0.0204       0.0003       0.0002  9.2593
  113       0.0021       0.0215       0.0003       0.0002  9.5624
