Filename: COCu_morse_fix_200_5k_adamW_LJ
Dataset size: 200
Target scaling: [8.841315589518457, -527.7487172369373]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.adamw.AdamW'>
Learning Rate: 0.001
Batch Size: 25
Epochs: 1000
Shuffle: True
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
   79       0.0058       0.1677       0.0292       0.0116  1.7100
   80       0.0055       0.1651       0.0292       0.0112  1.6244
   81       0.0190       0.1672       0.0294       0.0148  1.7939
   82       0.0073       0.1622       0.0289       0.0111  1.8247
   83       0.0067       0.1592       0.0266       0.0106  1.7827
   84       0.0076       0.1599       0.0259       0.0108  1.7299
   85       0.0066       0.1588       0.0254       0.0105  1.6493
   86       0.0059       0.1587       0.0252       0.0104  1.6908
   87       0.0059       0.1587       0.0252       0.0104  1.6871
   88       0.0056       0.1587       0.0251       0.0104  1.6804
   89       0.0052       0.1575       0.0250       0.0102  1.6590
   90       0.0076       0.1556       0.0248       0.0103  1.7147
   91       0.0044       0.1560       0.0244       0.0099  1.7698
   92       0.0260       0.1534       0.0244       0.0162  1.6675
   93       0.0258       0.1481       0.0254       0.0154  1.7991
   94       0.0329       0.1537       0.0269       0.0203  1.7860
   95       0.0300       0.1526       0.0266       0.0183  1.8429
   96       0.0192       0.1480       0.0258       0.0125  1.6635
   97       0.0192       0.1480       0.0263       0.0125  1.6421
   98       0.0190       0.1509       0.0288       0.0127  1.7771
   99       0.0412       0.1519       0.0303       0.0262  1.7335
  100       0.0312       0.1445       0.0306       0.0181  1.7881
  101       0.0488       0.1529       0.0286       0.0332  1.7567
  102       0.0258       0.1413       0.0328       0.0146  1.6706
  103       0.0419       0.1484       0.0273       0.0264  1.6586
  104       0.0148       0.1408       0.0292       0.0101  1.7819
  105       0.0044       0.1450       0.0230       0.0086  1.6975
  106       0.0091       0.1458       0.0208       0.0093  1.6922
  107       0.0091       0.1458       0.0204       0.0093  1.7217
  108       0.0039       0.1439       0.0203       0.0084  1.6735
  109       0.0054       0.1410       0.0203       0.0083  1.7241
  110       0.0050       0.1422       0.0203       0.0083  1.7495
  111       0.0105       0.1421       0.0198       0.0092  1.7957
  112       0.0045       0.1398       0.0196       0.0080  1.7960
