Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
   77       0.0005       0.0155       0.0008       0.0001  3.7746
   78       0.0004       0.0175       0.0007       0.0001  3.4901
   79       0.0004       0.0166       0.0007       0.0001  4.0921
   80       0.0004       0.0155       0.0007       0.0001  3.9502
   81       0.0004       0.0158       0.0007       0.0001  3.8311
   82       0.0004       0.0151       0.0007       0.0001  3.9322
   83       0.0004       0.0155       0.0007       0.0001  3.8399
   84       0.0004       0.0153       0.0007       0.0001  3.9291
   85       0.0004       0.0155       0.0007       0.0001  3.8336
   86       0.0004       0.0148       0.0007       0.0001  3.9535
   87       0.0005       0.0142       0.0007       0.0001  4.1020
   88       0.0005       0.0136       0.0007       0.0001  3.9569
   89       0.0004       0.0138       0.0007       0.0001  4.2603
   90       0.0004       0.0135       0.0007       0.0001  3.7994
   91       0.0004       0.0135       0.0007       0.0001  3.9258
   92       0.0004       0.0136       0.0007       0.0001  3.8803
   93       0.0004       0.0133       0.0006       0.0001  3.9586
   94       0.0004       0.0130       0.0006       0.0001  3.8678
   95       0.0005       0.0134       0.0006       0.0001  3.7989
   96       0.0004       0.0133       0.0006       0.0001  3.3115
   97       0.0004       0.0136       0.0006       0.0001  3.8532
   98       0.0004       0.0140       0.0006       0.0001  3.8465
   99       0.0004       0.0145       0.0006       0.0001  3.7818
  100       0.0004       0.0146       0.0006       0.0001  3.7929
  101       0.0004       0.0146       0.0006       0.0001  3.9204
  102       0.0004       0.0146       0.0006       0.0001  4.0885
  103       0.0004       0.0147       0.0006       0.0001  4.1688
  104       0.0004       0.0152       0.0006       0.0001  3.8527
  105       0.0004       0.0152       0.0006       0.0001  3.7744
  106       0.0004       0.0150       0.0006       0.0001  3.8881
  107       0.0004       0.0147       0.0006       0.0001  3.9069
  108       0.0004       0.0141       0.0006       0.0001  4.0132
  109       0.0004       0.0137       0.0006       0.0001  4.1255
  110       0.0004       0.0139       0.0005       0.0001  3.9885
  111       0.0004       0.0146       0.0005       0.0001  3.9106
  112       0.0004       0.0142       0.0005       0.0001  3.9254
  113       0.0004       0.0148       0.0005       0.0001  3.7443
