Sun Mar 15 12:53:41 2020
--------------------------------------------------
Filename: COCu_ml_f100
Dataset size: 100
Target scaling: [0, 0]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
   79       0.0004       0.0529       0.0005       0.0011  7.8241
   80       0.0004       0.0522       0.0005       0.0011  8.1194
   81       0.0004       0.0524       0.0005       0.0011  7.7969
   82       0.0004       0.0513       0.0005       0.0011  8.0779
   83       0.0004       0.0525       0.0005       0.0011  7.8842
   84       0.0003       0.0534       0.0005       0.0011  7.8371
   85       0.0003       0.0531       0.0005       0.0011  8.1357
   86       0.0004       0.0526       0.0005       0.0011  8.1235
   87       0.0003       0.0510       0.0005       0.0010  7.8284
   88       0.0004       0.0528       0.0005       0.0011  8.0656
   89       0.0004       0.0527       0.0005       0.0011  7.8976
   90       0.0004       0.0527       0.0005       0.0011  8.1238
   91       0.0004       0.0546       0.0005       0.0012  7.8519
   92       0.0004       0.0544       0.0005       0.0012  7.8452
   93       0.0004       0.0540       0.0005       0.0012  7.8204
   94       0.0004       0.0529       0.0005       0.0011  7.8405
   95       0.0004       0.0535       0.0005       0.0011  7.8827
   96       0.0005       0.0534       0.0004       0.0011  7.7650
   97       0.0005       0.0542       0.0004       0.0012  7.8454
   98       0.0004       0.0557       0.0004       0.0012  7.8176
   99       0.0005       0.0564       0.0004       0.0013  7.8344
  100       0.0005       0.0555       0.0004       0.0012  7.8652
  101       0.0005       0.0555       0.0004       0.0012  7.8456
  102       0.0005       0.0560       0.0004       0.0013  8.0922
  103       0.0004       0.0541       0.0004       0.0012  7.8095
  104       0.0004       0.0537       0.0004       0.0012  8.1079
  105       0.0004       0.0525       0.0004       0.0011  7.8614
  106       0.0004       0.0520       0.0004       0.0011  8.0851
  107       0.0004       0.0522       0.0004       0.0011  7.8099
  108       0.0004       0.0528       0.0004       0.0011  8.0651
  109       0.0003       0.0510       0.0004       0.0010  8.0678
  110       0.0003       0.0508       0.0004       0.0010  7.8469
  111       0.0003       0.0510       0.0004       0.0010  7.7327
  112       0.0003       0.0507       0.0004       0.0010  8.0676
